,Links,Title,Price,Rating,Type,Beds
0,,,,,,
1,https://www.airbnb.co.in//rooms/37844987?category_tag=Tag%3A5366&check_in=2022-09-30&check_out=2022-10-30&previous_page_section_name=1000&display_extensions%5B%5D=MONTHLY_STAYS&federated_search_id=f6411dde-86cd-4c41-b499-c98a8b799d65,"Apartment in Bansko, Bulgaria","₹2,96,971 month₹2,96,971 per month",5.0 (24),"Rare 5★ style, 2-BR ski apartment in Predela LUX",3 beds
2,https://www.airbnb.co.in//rooms/9646175?category_tag=Tag%3A5366&check_in=2022-09-30&check_out=2022-10-30&previous_page_section_name=1000&display_extensions%5B%5D=MONTHLY_STAYS&federated_search_id=f6411dde-86cd-4c41-b499-c98a8b799d65,"Chalet in Fontcouverte-la-Toussuire, France","₹1,30,433 ₹1,06,498 month₹1,06,498 per month, originally ₹1,30,433",4.36 (22),Jean pierre skilodge,3 beds
3,https://www.airbnb.co.in//rooms/25435762?category_tag=Tag%3A4104&check_in=2022-09-30&check_out=2022-10-30&previous_page_section_name=1000&display_extensions%5B%5D=MONTHLY_STAYS&federated_search_id=f6411dde-86cd-4c41-b499-c98a8b799d65,"Farm stay in Cortona, Italy","₹2,68,551 ₹2,14,841 month₹2,14,841 per month, originally ₹2,68,551",5.0 (6),Rural Tuscany | Childfriendly estate with pool,3 beds
4,https://www.airbnb.co.in//rooms/50647362?category_tag=Tag%3A677&check_in=2022-09-30&check_out=2022-10-30&previous_page_section_name=1000&display_extensions%5B%5D=MONTHLY_STAYS&federated_search_id=f6411dde-86cd-4c41-b499-c98a8b799d65,"Loft in Is-Swieqi, Malta","₹1,98,573 month₹1,98,573 per month",3.67 (3),Cosy Studio near St Julian's,7 beds
5,https://www.airbnb.co.in//rooms/635979819806335570?category_tag=Tag%3A789&check_in=2022-09-30&check_out=2022-10-30&previous_page_section_name=1000&display_extensions%5B%5D=MONTHLY_STAYS&federated_search_id=f6411dde-86cd-4c41-b499-c98a8b799d65,"Holiday home in Vlorë, Albania","₹50,835 month₹50,835 per month",New,"Lovely large 1+1 Apartment, clean with a sea view",1 bed
6,https://www.airbnb.co.in//rooms/30300351?category_tag=Tag%3A5348&check_in=2022-09-30&check_out=2022-10-30&previous_page_section_name=1000&display_extensions%5B%5D=MONTHLY_STAYS&federated_search_id=f6411dde-86cd-4c41-b499-c98a8b799d65,"Chalet in Chamonix-Mont-Blanc, France","₹2,50,839 month₹2,50,839 per month",4.58 (24),Chalet du Glacier - Happy.Rentals,2 double beds
7,https://www.airbnb.co.in//rooms/36258677?category_tag=Tag%3A8186&check_in=2022-09-30&check_out=2022-10-30&previous_page_section_name=1000&display_extensions%5B%5D=MONTHLY_STAYS&federated_search_id=f6411dde-86cd-4c41-b499-c98a8b799d65,"Tiny home in Verfeil sur Seye, France","₹1,69,359 ₹64,261 month₹64,261 per month, originally ₹1,69,359",4.95 (40),"Rita ""Létrier"" trailers",1 double bed
8,https://www.airbnb.co.in//rooms/32621208?category_tag=Tag%3A8102&check_in=2022-09-30&check_out=2022-10-30&previous_page_section_name=1000&display_extensions%5B%5D=MONTHLY_STAYS&federated_search_id=f6411dde-86cd-4c41-b499-c98a8b799d65,"Hotel room in AL, Albania","₹1,56,630 ₹1,35,089 month₹1,35,089 per month, originally ₹1,56,630",4.57 (42),THETHI PARADISE,4 beds
9,https://www.airbnb.co.in//rooms/37013596?category_tag=Tag%3A5348&check_in=2022-09-30&check_out=2022-10-30&previous_page_section_name=1000&display_extensions%5B%5D=MONTHLY_STAYS&federated_search_id=f6411dde-86cd-4c41-b499-c98a8b799d65,"Cabin in Ylöjärvi, Finland","₹2,21,569 ₹1,59,697 month₹1,59,697 per month, originally ₹2,21,569",4.94 (62),Tuuliniemi - Beautiful cottage and sauna by the lake,3 beds
10,https://www.airbnb.co.in//rooms/31690509?category_tag=Tag%3A5366&check_in=2022-09-30&check_out=2022-10-30&previous_page_section_name=1000&display_extensions%5B%5D=MONTHLY_STAYS&federated_search_id=f6411dde-86cd-4c41-b499-c98a8b799d65,"Flat in Saint-Gervais-les-Bains, France","₹1,32,382 month₹1,32,382 per month",4.66 (32),"Studio with balcony, pool, Mont Blanc view",3 beds
11,https://www.airbnb.co.in//rooms/27053635?category_tag=Tag%3A5366&check_in=2022-09-30&check_out=2022-10-30&previous_page_section_name=1000&display_extensions%5B%5D=MONTHLY_STAYS&federated_search_id=f6411dde-86cd-4c41-b499-c98a8b799d65,"Apartment in Mâcot-la-Plagne, France","₹86,181 month₹86,181 per month",4.85 (52),Studio 4 pers at the foot of the slopes Plagne Villages,2 beds
12,https://www.airbnb.co.in//rooms/37424380?category_tag=Tag%3A5348&check_in=2022-09-30&check_out=2022-10-30&previous_page_section_name=1000&display_extensions%5B%5D=MONTHLY_STAYS&federated_search_id=f6411dde-86cd-4c41-b499-c98a8b799d65,"Chalet in El Cuervo, Spain","₹2,57,394 ₹1,85,589 month₹1,85,589 per month, originally ₹2,57,394",4.88 (8),Wooden chalet designed for your wellness,4 beds
13,https://www.airbnb.co.in//rooms/17459721?category_tag=Tag%3A4104&check_in=2022-09-30&check_out=2022-10-30&previous_page_section_name=1000&display_extensions%5B%5D=MONTHLY_STAYS&federated_search_id=f6411dde-86cd-4c41-b499-c98a8b799d65,"Farm stay in Pievescola, Italy","₹1,85,758 month₹1,85,758 per month",4.92 (25),Farm stay: JASMINE in Podere Bracaleto,2 beds
14,https://www.airbnb.co.in//rooms/13096468?category_tag=Tag%3A7769&check_in=2022-09-30&check_out=2022-10-30&previous_page_section_name=1000&display_extensions%5B%5D=MONTHLY_STAYS&federated_search_id=f6411dde-86cd-4c41-b499-c98a8b799d65,"Villa in Ponti Agiou Petrou, Greece","₹5,32,599 month₹5,32,599 per month",4.5 (14),Villa Sirocco - Anemos Luxury Villas,3 beds
15,https://www.airbnb.co.in//rooms/1579832?category_tag=Tag%3A8175&check_in=2022-09-30&check_out=2022-10-30&previous_page_section_name=1000&display_extensions%5B%5D=MONTHLY_STAYS&federated_search_id=f6411dde-86cd-4c41-b499-c98a8b799d65,"Villa in Jacurso, Italy","₹78,635 month₹78,635 per month",4.55 (14),Mediterranean relaxing house,3 beds
16,https://www.airbnb.co.in//rooms/45794766?category_tag=Tag%3A8186&check_in=2022-09-30&check_out=2022-10-30&previous_page_section_name=1000&display_extensions%5B%5D=MONTHLY_STAYS&federated_search_id=f6411dde-86cd-4c41-b499-c98a8b799d65,"Tiny home in Liu, Estonia","₹1,53,344 ₹59,854 month₹59,854 per month, originally ₹1,53,344",4.76 (17),Liu - Private paradise on Earth,1 sofa bed
17,https://www.airbnb.co.in//rooms/7364777?category_tag=Tag%3A8534&check_in=2022-09-30&check_out=2022-10-30&previous_page_section_name=1000&display_extensions%5B%5D=MONTHLY_STAYS&federated_search_id=f6411dde-86cd-4c41-b499-c98a8b799d65,"Cabin in Kvikkjokk, Sweden","₹2,58,410 ₹1,98,573 month₹1,98,573 per month, originally ₹2,58,410",4.79 (28),"Borealis Wilderness Lodge, Chalet",5 beds
18,https://www.airbnb.co.in//rooms/30126508?category_tag=Tag%3A5348&check_in=2022-09-30&check_out=2022-10-30&previous_page_section_name=1000&display_extensions%5B%5D=MONTHLY_STAYS&federated_search_id=f6411dde-86cd-4c41-b499-c98a8b799d65,"Cabin in Djupvik, Norway","₹5,20,318 month₹5,20,318 per month",4.95 (22),"Cottage by the sea, proximity to mountains and nature in Lyngen.",4 beds
19,https://www.airbnb.co.in//rooms/21662353?category_tag=Tag%3A5366&check_in=2022-09-30&check_out=2022-10-30&previous_page_section_name=1000&display_extensions%5B%5D=MONTHLY_STAYS&federated_search_id=f6411dde-86cd-4c41-b499-c98a8b799d65,"Apartment in Bagnères-de-Bigorre, France","₹92,668 month₹92,668 per month",4.57 (124),"Cocoon Eris, 4 people, res. MONGIE-TOURMALET, Wi-Fi",3 beds
20,https://www.airbnb.co.in//rooms/18285092?category_tag=Tag%3A5348&check_in=2022-09-30&check_out=2022-10-30&previous_page_section_name=1000&display_extensions%5B%5D=MONTHLY_STAYS&federated_search_id=f6411dde-86cd-4c41-b499-c98a8b799d65,"Cabin in Woolfardisworthy, UK","₹1,94,493 ₹1,67,887 month₹1,67,887 per month, originally ₹1,94,493",4.94 (79),Eve's Lodge,5 beds
